55	KR	1633	15	1844	37	1675	79	1446	0	8	0	16	-12	-53	-28	-130	-23	-116	-21	-80	893	288	215	390	482	190	221	1632	827	-12	-53
56	BO	1628	21	1793	59	1493	84	1244	3	18	-3	7	-3	1	-4	0	2	27	9	40	417	153	151	113	95	218	104	441	814	-3	1
57	NO	1627	8	1929	37	1612	86	1364	3	28	-3	7	-4	0	-29	-132	-24	-121	-32	-170	774	366	361	47	276	324	174	1161	1322	-4	0
58	FI	1626	14	1747	61	1487	120	1246	-17	-52	-14	-46	-12	-47	-7	-6	-14	-53	-18	-59	701	289	372	40	172	383	146	838	1538	-12	-47
59	WA	1621	3	1905	22	1661	84	1403	2	26	1	28	2	35	5	41	-3	14	-7	-5	613	289	308	16	187	294	132	769	1048	2	35
60	EG	1616	10	1891	33	1672	68	1525	-11	-28	-25	-90	-18	-79	-24	-92	-19	-80	-12	-32	720	292	237	191	362	185	173	1286	787	-18	-79
61	BG	1606	7	1896	37	1639	69	1320	-15	-52	-12	-38	-10	-36	-15	-56	-30	-152	-29	-125	657	249	339	69	247	249	161	944	970	-10	-36
62	TN	1603	24	1761	52	1604	86	1437	5	33	14	72	23	95	-7	-2	-10	-24	-9	-20	608	278	205	125	248	186	174	860	679	23	95
63	ME	1597	34	1725	47	1664	64	1591	-6	-19	-5	-7	-5	-4	-21	-84	-16	-69	0	0	62	32	28	2	23	20	19	77	75	-5	-4
64	GN	1595	20	1799	68	1535	129	1306	14	64	7	52	17	80	22	91	25	117	10	68	466	133	195	138	179	150	137	675	564	17	80
65	QA	1588	52	1623	100	1376	160	964	26	108	22	94	28	116	26	110	17	58	9	61	510	233	116	161	200	168	142	692	597	28	116
66	AL	1578	32	1606	75	1483	119	1359	5	26	14	64	13	60	17	68	22	91	5	38	292	137	138	17	70	159	63	256	468	13	60
67	OM	1555	51	1655	137	1141	180	783	-3	-26	-8	-48	-1	-22	11	22	-8	-42	-11	-64	435	178	106	151	151	175	109	547	631	-1	-22
68	HN	1552	23	1790	59	1501	108	1332	4	1	-11	-54	-25	-134	-27	-132	-35	-196	-18	-94	521	168	163	190	215	171	135	789	664	-25	-134
68	CN	1552	21	1755	44	1611	93	1444	6	2	5	11	-9	-39	-15	-75	10	7	-8	-59	598	213	197	188	307	165	126	1171	626	-9	-39
70	AM	1550	62	1590	108	1397	144	1239	2	-1	-5	-24	-5	-31	9	19	45	170	28	125	178	65	84	29	39	103	36	154	325	-5	-31
70	BY	1550	44	1667	78	1515	120	1352	-7	-33	-10	-43	-10	-40	-9	-46	-5	-32	-14	-69	188	73	95	20	56	82	50	233	266	-10	-40
72	ML	1548	39	1654	70	1521	127	1305	-3	-16	-4	-18	-3	-11	-17	-57	-4	-23	2	21	488	163	189	136	198	172	118	644	587	-3	-11
73	MA	1544	18	1823	43	1655	87	1512	6	18	6	26	2	12	1	-1	-3	-24	-31	-131	572	240	191	141	263	138	171	828	513	2	12
74	BF	1542	63	1580	102	1378	131	1237	-9	-38	1	4	-2	-8	24	95	16	66	31	152	355	133	142	80	112	149	94	423	519	-2	-8
75	GT	1540	30	1644	64	1489	108	1385	0	-3	17	61	16	61	-2	-9	32	114	-17	-77	505	172	148	185	179	191	135	702	696	16	61
